line_id,evaluation
40,ok
56,ok
86,ok
89,not ok
332,ok
672,ok
725,ok
893,ok
1113,ok
1117,ok
1472,ok
1603,ok
1737,ok
2201,not ok
2424,not ok
2691,ok
3062,ok
3064,ok
3250,ok
3506,ok
3673,not ok
4270,ok
4610,ok
4660,not ok
4662,not ok
4663,ok
4664,ok
4665,ok
4668,ok
4680,not ok
4731,ok
4748,ok
4757,not ok
4774,ok
4776,ok
4791,not ok
4843,ok
4854,not ok
4906,ok
4925,not ok
4928,ok
4931,ok
4937,ok
4943,ok
4944,ok
4965,ok
5418,ok
5477,ok
5852,ok
6390,ok
6448,ok
6475,not ok
6514,ok
6675,ok
8219,ok
8300,ok
8419,ok
8420,ok
8632,ok
10023,not ok
12643,ok
13103,ok
16024,ok
16080,ok
16663,ok
16665,ok
16914,ok
17139,ok
18954,ok
19595,ok
20008,ok
20167,ok
21044,ok
21169,ok
23626,ok
23863,ok
24899,ok
25355,ok
29627,not ok
30012,ok
32224,ok
32879,ok
33995,not ok
35296,ok
36101,ok
37399,ok
39714,ok
39725,ok
39796,ok
39834,ok
42207,ok
43070,ok
43689,ok
43735,ok
43981,ok
44212,ok
44214,ok
44336,ok
44348,ok
45503,ok
45910,ok
46289,ok
46632,ok
46633,ok
47122,ok
48521,ok
51925,ok
53226,ok
54536,ok
56087,ok
56130,ok
56132,not ok
56134,ok
56136,ok
56138,ok
56140,ok
56194,not ok
56195,ok
56197,ok
56200,ok
56202,ok
56204,ok
56207,ok
56209,ok
56211,ok
56218,ok
56222,ok
56224,ok
56227,ok
56229,ok
56284,ok
56286,ok
56288,ok
56290,ok
56292,ok
56294,ok
56296,ok
56298,ok
56300,ok
56302,ok
56304,ok
56306,ok
56372,ok
56408,ok
56417,ok
56450,ok
56474,not ok
56490,not ok
56495,ok
56548,ok
56580,ok
56635,not ok
56637,not ok
56642,ok
56644,ok
56684,not ok
56868,ok
56923,ok
56942,ok
56989,ok
57050,not ok
57082,not ok
57161,ok
57168,not ok
57191,not ok
57192,not ok
57258,not ok
57287,not ok
57303,not ok
57321,not ok
57324,not ok
57332,not ok
57373,not ok
57409,ok
57446,ok
57665,ok
57769,ok
57770,ok
57909,ok
58380,ok
58496,ok
58755,ok
58912,ok
59026,not ok
59088,ok
59089,ok
59129,ok
59137,ok
59163,ok
59165,ok
59200,ok
59202,ok
59209,not ok
59244,not ok
59247,ok
59394,not ok
59504,not ok
59559,ok
59606,ok
59744,ok
59763,ok
59837,not ok
59913,ok
59949,ok
60032,ok
60037,not ok
60057,not ok
60058,ok
60111,not ok
60131,not ok
60162,not ok
60169,not ok
60183,not ok
60184,not ok
60185,not ok
60199,ok
60253,not ok
60261,ok
60266,not ok
60288,not ok
60294,not ok
60311,ok
60312,not ok
60319,not ok
60321,not ok
60327,ok
60329,ok
60333,ok
60338,not ok
60365,not ok
60368,not ok
60375,ok
60393,not ok
60420,ok
60421,not ok
60527,not ok
60546,not ok
60548,not ok
60554,ok
60559,not ok
60595,ok
60601,not ok
60602,not ok
60605,ok
60607,not ok
60611,not ok
60616,not ok
60621,not ok
60625,not ok
60641,not ok
60643,ok
60653,not ok
60658,ok
61151,ok
61256,ok
61356,ok
61417,ok
61419,ok
61526,ok
61527,not ok
61625,ok
61765,ok
61788,ok
61820,ok
61894,not ok
62428,not ok
62688,ok
62987,ok
63382,ok
63798,ok
64180,ok
64198,ok
64230,ok
64391,ok
64446,not ok
64753,ok
65149,ok
65427,ok
66088,ok
66310,ok
66568,not ok
66569,ok
67198,ok
67200,ok
